DATAFLOW,LAST UPDATE,freq,unit,indic_nrg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,2019,163.85,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,2020,165.92,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,2021,217.20,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,2022,201.65,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,2023,248.43,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Bulgaria,2024,352.51,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,1979,363.15,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,1980,335.10,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,1981,399.74,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,1982,366.52,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,1983,308.86,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,1984,268.03,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,1985,365.50,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,1986,352.31,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,1987,380.12,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,1988,476.29,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,1989,334.03,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,1990,353.09,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,1991,326.65,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,1992,322.91,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,1993,423.35,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,1994,528.52,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,1995,616.78,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,1996,611.99,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,1997,553.94,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,1998,751.93,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,1999,707.36,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,2000,754.52,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,2001,695.26,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,2002,681.16,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,2003,722.27,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,2004,632.80,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,2005,593.35,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,2006,663.87,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,2007,725.15,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,2008,737.13,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,2009,718.27,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,2010,745.53,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,2011,672.18,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,2012,774.72,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,2013,687.32,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,2014,634.15,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,2015,678.65,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,2016,743.13,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,2017,711.38,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,2018,812.18,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,2019,754.00,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,2020,802.51,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,2021,732.46,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,2022,698.12,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,2023,780.47,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Cyprus,2024,1010.96,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Czechia,1979,0.52,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Czechia,1980,0.17,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Czechia,1981,1.04,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Czechia,1982,1.96,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Czechia,1983,11.26,,
ESTAT:NRG_CHDD_A(1.0),28/03/25 23:00:00,Annual,Number,Cooling degree days,Czechia,1984,5.10,,
